"is_spam","post_text","comment_text"
False,"Wakil Kepala BGN Nanik S. Deyang akan segera membentuk Tim Investigasi Keracunan yang akan dipimpin oleh para ahli kimia. #mbg #makanbergizigratis  #pengawasanmbg #badangizinasional https://t.co/jrhrYbUlOg",NULL
False,"Dimata mereka rakyat itu hanya angka & data..

Badan Gizi Nasional (BGN) menolak desakan untuk menghentikan sementara program Makan Bergizi Gratis (MBG) meski kasus keracunan siswa kian melonjak.

Kepala BGN Dadan Hindayana menegaskan, pemerintah tetap fokus mengejar target penerima manfaat. Ia menyebut kasus keracunan masih dianggap “dalam batas wajar” yakni 4.711 porsi dari 1 miliar porsi yang sudah disajikan selama 9 bulan berjalan.

👉 Untuk mencegah kasus berulang, BGN berjanji akan:

Membentuk tim investigasi, 
Menghentikan sementara dapur bermasalah, Membuka kantor pengawasan di setiap kabupaten/kota mulai 2026.

Namun fakta di lapangan bikin publik resah. Data Jaringan Pemantau Pendidikan Indonesia (JPPI) mencatat:

Juli: 342 siswa keracunan,
Agustus: 2.226 siswa,
September: 3.145 siswa,

Sehingga total korban sejak Januari sudah 6.425 siswa! 😱

Tak heran, berbagai pihak termasuk KPAI, JPPI, dan ICW mendesak Presiden untuk menghentikan program sebelum ada korban jiwa. Mereka menegaskan, keselamatan anak harus lebih diutamakan ketimbang sekadar mengejar target porsi.

💬 Menurut kalian, program ini lebih baik dihentikan dulu atau tetap jalan dengan perbaikan❓

#LambeKawanua #SulutViral #MakanBergiziGratis #Keracunan #BGN #BeritaViral",NULL
False,"Pakar Tegaskan Sekolah dan Orang Tua Bisa Menolak MBG Akibat Keracunan Berulang

#mbg 
#keracunanmbg
https://t.co/FFeQO49BMN",NULL
False,"Menu MBG hari ini ayam kentaki semoga anak2 sennag
#MBG
#BGN
#Smkn5mkw
@sorotan",NULL
True,"https://t.co/S8Mgl4DRDP, Jakarta - Presiden Prabowo Subianto mewanti-wanti jangan sampai kasus dugaan keracunan makan bergizi gratis (MBG) dipolitisasi. Prabowo menyadari kasus keracunan MBG yang dialami anak-anak merupakan masalah besar.

Dia pun mengakui bahwa ada kekurangan pada awal pelaksanaan program MBG. Namun, Prabowo meyakini masalah dalam program MBG akan dapat terselesaikan dengan baik

Selama tujuh hari di luar negeri, Prabowo menyampaikan dirinya memantau kasus keracunan MBG yang terjadi di sejumlah daerah. Kendati baru tiba di Indonesia, dia akan langsung memanggil Kepala Badan Gizi Nasional (BGN) Dadan Hindayana dan pejabat terkait untuk membahas masalah dalam program MBG.

""Saya baru dari luar negeri 7 hari saya monitor ada perkembangan itu, habis ini saya langsung akan panggil Kepala BGN dengan beberapa pejabat, kita akan diskusikan,"" ujarnya.

Prabowo menjelaskan, tujuan program MBG untuk membantu anak-anak Indonesia yang kesulitan mendapat makan bergizi. Dia berjanji akan mengatasi hambatan dan rintangan dalam pelaksanaan program MBG.

""Tujuan makan bergizi adalah untuk anak-anak kita, yang sering sulit makan. Mungkin kita-kita ini makan lumayan, mereka itu makan hanya nasi pakai garam. Ini yang harus kita atasi, untuk memberi makan juta pasti ada hambatan rintangan ,ini kita atasi,"" jelas Prabowo

#DM_NewsUpdate
#MBG
Sumber link : Banyak Kasus Keracunan MBG, Prabowo: Ini Masalah Besar, akan Kita Selesaikan - News https://t.co/S8Mgl4DRDP https://t.co/hUpfQ3QQk3",NULL
True,"Pemerintah tutup sementara SPPG bermasalah imbas siswa keracunan MBG https://t.co/4pce6N4cEP  #MBG #MakanBergiziGratis",NULL
True,"Bersama Program Makan Bergizi Gratis, masa depan anak-anak jadi terjamin dan semakin tumbuh cerdas dan berinovasi.
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/9qTGqxtCPm",NULL
True,"@roadsario Tak ada masa depan gemilang tanpa generasi sehat. 🌱
Program Makan Bergizi Gratis hadir untuk pastikan anak-anak Indonesia tumbuh optimal, cerdas, dan kuat sejak dini!
#KomitmenPemerintahJagaMBG 💪🥚",NULL
True,"yuks bisa yuk🔥 #affiliatepemula #tiktokaffiliate #affiliate #promo #perintis ",NULL
False,"Presiden Prabowo Subianto memastikan pemerintah akan menangani kasus keracunan yang terjadi dalam program Makan Bergizi Gratis (MBG). Ia langsung memanggil Kepala Badan Gizi Nasional (BGN) Dadan Hindayana dan jajaran terkait untuk membahas langkah-langkah penyelesaian. Prabowo menilai kasus ini sebagai persoalan serius, namun ia optimis masalah dapat ditangani dengan baik. Prabowo juga mengingatkan agar semua pihak tidak mempolitisasi kasus ini. Menurutnya, program MBG dirancang untuk membantu anak-anak yang kesulitan mendapatkan makanan bergizi. Ia menekankan bahwa memberi makan jutaan orang bukan pekerjaan mudah, tetapi pemerintah berkomitmen penuh agar tujuan program tetap tercapai. #PrabowoSubianto #MakanBergiziGratis #KasusKeracunanMBG #PemerintahBertindak",NULL
True,"साइबर हमले के बाद JLR का बड़ा बयान - जानें कंपनी ने क्या कहा | Tata Motors के शेयर पर दिखेगा असर?

#TataMotors #JLR #CyberAttack 

https://t.co/6WlGS77UUp",NULL
True,"सन् २००० पछि रंगीन क्रान्तिमार्फत आएका शासकहरूको दिनचर्या केही दिन रोमान्टिक, रिभोलुसनरी, सुधारक र हिरो हौं भन्ने देखाउनमा बित्छ । तर, केही दिनपछि प्रतिफल दिन नसक्दा आफूविरुद्ध खनिन अरू कोही होइन, आफन्तै आइपुग्छन् 
 👉 विस्तृत जानकारीका लागि bio मा क्लिक गर्नुहोस् 
 #ColorRevolution #GenZMovement #NepalPolitics #PoliticalChange #YouthProtest",NULL
True,"#Teen suspected in massive #cyberattack on #LasVegas #casinos. Here’s what it cost. https://t.co/BxDRynQ6vJ",NULL
True,"Surge in Aviation Cyberattacks Raises Global Security Concerns
@techshotsapp

#Cyberattack #Global #Security

https://t.co/SWObvh8WZx",NULL
True,"Calling all indonesia beauty creator to make pink green makeup look ib: @icarahmoney  #resetindonesia #bravepink #greenhero #transisimakeup #pinkgreen ",NULL
True,"Cyberattack Disrupts Heathrow and Major European Airports
@techshotsapp

#Cyberattack #Disrupts #Airports

https://t.co/3IQweK8mYG",NULL
True,"@sami86pilang Kejaksaan, kepolisian, pengadilan, rutan bahkan pengacara, rata2 mafia kasus",NULL
True,"Sudah tayang! #ILC &gt;&gt; Presiden Prabowo Bentuk Tim Reformasi Polri // Kapolri Melawan? // TONTON YOUTUBE ILC EPISODE TERBARU 👉 https://t.co/wa81ougLbK https://t.co/EgykglG82L",NULL
True,"https://t.co/fiE6DyTEEg

Yeah, you know it's nasty when it involve nation wide policies and your team consist of yes man and politik balas budi.

Gizi dikepalai oleh beberapa pensiunan, it kinda logical at this point https://t.co/bTr6GxU6AH",NULL
False,"When a cyberattack strikes, every second counts. 

CloudTech24’s expert Cyber Incident Response team is on standby to contain threats, investigate breaches, and get your business back on track fast. Don’t let an attack define your future, let us defend it.

Stay protected, partner with CloudTech24 today!

www.cloudtech24.com

#CyberSecurity #IncidentResponse #DataProtection #CloudTech24 #UKBusiness #CyberAttack #BusinessContinuity #SecurityExperts #ManagedSecurity #CyberDefence",NULL
True,"@MurtadhaOne1 @CNNIndonesia Coba pertanyaan nya gini:
""Pak, Bobby kan hidup sehat, bahagia, banyak pengawalnya, kok rakyat Indonesia malah banyak keracunan MBG?
Bobby &amp; siswa sekolah sama-sama dikasih makan gratis, tapi yg keracunan kok cuma siswa nya doang???
Emang nyawa rakyat lebih rendah dari binatang?"" https://t.co/Ch8jwQFqLR",NULL
False,"MIRIS! enak2an mereka wara wiri di ranah sipil. sementara sipilnya menganggur! REFORMASI TNI! CABUT UU TNI! #cabutuutni #tnibalikbarakaja #supremasisipil #fyp #foryoupage ",NULL
False,"Mahfud MD Setuju Rencana Presiden Prabowo soal Reformasi Polri dan Siap Membantu #polri #polisi #mahfudmd #hukum #pemerintah ",NULL
True,"Gerakan Reformasi Kampus Anti Kekerasan Seksual tetap 🔥🔥🔥🔥🔥🔥🔥tidak akan padam sampai kapanpun💪🏻💪🏻💪🏻#kemendikbudristek #menteriperempuandananak #kekerasanseksualmerusakgenerasi #komnasperempuan #antikekerasanperempuan ",NULL
True,"Israeli PM Benjamin Netanyahu’s flight to the US avoided French and Spanish airspace, rerouting over the Strait of Gibraltar. Israeli media report the move reflects strained ties with France’s Macron and Netanyahu’s fear of arrest under the ICC warrant if an emergency landing forced the plane down.",NULL
False,"pak prabowoo, neng aura juga mau cobain MBG 😭😭🤣 btw ini aku masaknya pakai Elite Clad @Steincookware Official Store ! #resepsimplenengaura #kedainengaura #MBG #elitecladstein #steincookware",NULL
False,"REFORMASI POLRI MEMANG BETUL DI MULAI DARI DALAM SEPERTI IKAN YANG BUSUK KEPALANYA DULUAN JADI KAPOLRI YANG HARUS DI GANTI.",NULL
True,"Makan Bergizi Gratis Dorong Siswa Madradah Lebih Sehat dan Cerdas https://t.co/1nTDJryvZp",NULL
True,"polisiye hukuk denince akla ilk gelenlerden… ❤️‍🩹 #wattpad #kitapönerisi #17eylül #keşfetteyizzz #keşfetbeniöneçıkar ",NULL
True,"State Department Severs Ties With Armed Queers-Affiliated NGO; Marxist Group Nukes Socials
https://t.co/nSxy03ihCT
A State Department source confirmed to Blaze News that any ties to Utah Global Diplomacy, ""which existed indirectly via an external implementer, are being completely severed and dismantled."" As we reported earlier, Armed Queers SLC founder Ermiya Fanaeian had been recognized by the NGO. [She was trained in Cuba to train trans assassins.]",NULL
