"is_spam","post_text"
True,"Setelah kemarin main ke Pantai Mulut Seribu dan sunset-an di salah satu calon Kampung Nelayan Merah Putih (KNMP) di sana, kali ini Menteri Trenggono mengajak The Dudas-1 untuk melihat langsung lokasi Kawasan Sentra Industri Garam Nasional"
False,"pembangunan Kampung Nelayan Merah Putih (KNMP) resmi dimulai di Desa Malalanda, Kecamatan Kalisusu, Kabupaten Buton Utara. Kegiatan ini ditandai dengan pelaksanaan Mutual Checking 0% (MC-0) oleh Pejabat Pembuat Komitmen (PPK) KNMP yang didampingi oleh Kepala PPS Kendari. https://t.co/iBd8q8fE9g"
True,"@senioren_nb_zl @KNMP https://t.co/yGfXNSXSOQ"
False,"Mengunjungi Badan Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan (BPPMHKP) Mataram, berdialog dengan para pegawai dan mengecek fasilitas yang tersedia. Saya juga mendorong BPPMHKP agar terus berperan aktif dalam pengembangan potensi sektor kelautan dan perikanan di Nusa Tenggara Barat.

#PanganBiru
#2025KKPRiseTogether
#EkonomiBiruUntukIndonesiaEmas
#WamenKP #WamenDidit
#DiditHerdiawanAshaf
#KKPGOID
#KabinetMerahPutih"
True,"POGUBAN ZA TIM! Evo ko je najviše doprineo slaboj igri Partizana na startu sezone! 🏀

#kkp #partizan 

https://t.co/eSCUSIz5hm"
True,"🖤🤍 #partizan#grobari#kkp#srbija#balkan "
True,"Maskot dari putra bahari🔥🔥

#putrabaharifootballclub #pendekarbiru #kampungnelayan #sepakbolaindonesia"
True,"#sahabatbudidaya

Giat Tim KJA dan siswa praktik melakukan perendaman ikan Bawal Bintang di Keramba Jaring Apung BBPBL Lampung (Rabu, 08 Oktober 2025).

Perendaman ikan menggunakan air tawar bermanfaat untuk menghilangkan parasit dan kotoran yang menempel pada tubuh ikan Bawal Bintang, sehingga dapat menjaga kesehatan dan kualitas ikan. Dengan demikian, kegiatan ini dapat membantu meningkatkan keberhasilan budidaya ikan Bawal Bintang di BBPBL Lampung.

#PanganBiru
#2025KKPRiseTogether
#EkonomiBiruUntukIndonesiaEmas
#SaktiWahyuTrenggono
#KKPGOID"
True,"[BUKAN HANTU BIASA👻]
tapi ‘hantu’ yang satu ini nyata dan mengancam lautan kita. Pernahkah Anda mendengar istilah Ghost Fishing?

Assalamu'alaikum Warahmatullahi Wabarakatuh. Perkenalkan saya Tiara Utami dengan NIM 2204113613. Pada postingan kali ini saya akan memaparkan mengenai studi kasus ghost fishing untuk memenuhi tugas mata kuliah Penyuluhan Perikanan Tangkap yang diampu oleh Ibu Nabila Khairiyah Sitompul, S.Pi., M.Si

Ghost fishing adalah fenomena di mana jaring ikan yang hilang atau ditinggalkan di laut terus ""berburu"" secara pasif. Hal ini terjadi di banyak tempat, salah satunya seperti studi kasus di Desa Sungai Kayu Ara, di mana jaring sering tersangkut karena teknik penangkapan tradisional yang kurang presisi.🌊

Dampaknya sangat merusak: biota laut tak bersalah terperangkap, stok ikan berkurang, dan ekosistem terumbu karang hancur🐟. Namun, harapan itu ada! Dengan adopsi teknologi ramah lingkungan seperti GPS dan pendeteksi bunyi (sonar), nelayan dapat menentukan lokasi ikan dengan akurat, mengurangi risiko jaring hilang, dan meningkatkan efisiensi tangkapan.

Mendukung modernisasi alat tangkap bukan hanya tentang efisiensi, tapi juga tentang tanggung jawab kita terhadap kelestarian laut. Mari bersama-sama kita dukung nelayan dan jaga laut kita untuk masa depan yang lebih baik. Bagaimana menurutmu langkah ini? Bagikan pendapatmu di kolom komentar! 👇

#GhostFishing #StopGhostFishing #LautLestari #PerikananBerkelanjutan #NelayanIndonesia #JagaLaut #TeknologiPerikanan #KonservasiLaut #Ekologi #sungaikayuara"
True,"🐠modeling budi daya ikan nila salin📍bluppb-karawang  #modelingbudidayaikannilasalin  #budidayaikannilasalin  #bluppb"
False,"Biar tambak maju, jalan dan irigasinya dulu yang harus rapi!

Ini dia suara jujur para Sekda dan Kadis di Provinsi Jawa Barat dan Kabupaten Bekasi, Karawang, Subang dan Indramayu yang hadir dalam rapat dan kunjungan ke BINS Karawang.

Mereka siap dukung penuh program revitalisasi tambak, tapi juga kasih masukan penting: akses jalan & irigasi harus tuntas!

Langkah besar dimulai dari infrastruktur dasar. Biar kegiatan budidaya nya nanti makin produktif dan berkelanjutan!

#PanganBiru #2025KKPRiseTogether #EkonomiBiruUntukIndonesiaEmas #SaktiWahyuTrenggono #KKPGOID 
#RevitalisasiTambakPantura #IkanNilaSalin"
