;Unnamed: 0;NamaSPPG;Alamat;Tanggal Opsnal;Provinsi;wilayah;Nama Kepala;Nama Yayasan;Latitude;Longitude
0;0;SPPG Aceh Utara Matangkuli Teupin Keubeu;Jl. Matangkuli Lhoksukon, Teupin Keubeu, Matangkuli, Kab. Aceh Utara, Aceh;01-09-2025;ACEH;Wilayah I;Teuku Muhammad Saiful;;4.98896;97.37292
1;1;SPPG Aceh Utara Muara Batu Meunasah Drang;Jalan Medan - Banda Aceh Desa Meunasah Drang, Kecamatan Muara Batu, Kabupaten Aceh Utara. Provinsi Aceh., Meunasah Drang, Muara Batu, Kab. Aceh Utara, Aceh;01-09-2025;ACEH;Wilayah I;Muhammad Nur;;5.25274;96.93624
2;2;SPPG Aceh Barat Samatiga Suak Timah;Jl. Meulaboh Banda Aceh Desa Suak Timah Kab. Aceh Barat, Aceh;01-09-2025;ACEH;Wilayah I;M. Hasudungan Situmeang;;4.2073;96.05934
3;3;SPPG Aceh Singkil Singkil Utara Gosong Telaga Barat;Praktik Dr. Robinson U. Pasaribu, Jln. Singkil-Rimo Km 12, Desa Gosong Telaga Barat, Kecamatan Singkil Utara, Kabupaten Aceh Singkil, Provinsi Aceh;01-09-2025;ACEH;Wilayah I;Fadil Muhammad;;2.28465;97.91953
5;5;SPPG Bireuen Peusangan Keude Matang Glumpang Dua;Jl. Mon Eungkot, Desa Keude Matang Glumpang Dua, Kec. Peusangan Kab. Bireuen Provinsi Aceh;02-06-2025;ACEH;Wilayah I;Irda Anzani;Yayasan Izzatul Ummah Muhammad Thaib;5.18926;96.79059
6;6;SPPG Kota Banda Aceh Syiah Kuala Jeulingke;Jl. Rawa Sakti II Desa Jeulingke Kec. Syiah Kuala Kota Banda Aceh;02-06-2025;ACEH;Wilayah I;Kuja Bardha Jamhur Hakim;Yayasan Kurnia Jaya Abadi;5.58115;95.35149
7;7;SPPG Pidie Pidie Cot Teungoh;Jl. Lingkar Keuniree Desa Cot Teungoh, Kecamatan Pidie. Kabupaten Pidie, Provinsi Aceh;02-06-2025;ACEH;Wilayah I;Sri Roliya;;5.37043;95.9556
9;9;SPPG Aceh Besar Darussalam Lie Eue;Jl. Gle Inem Desa Lie Eue Kec. Darussalam Kab. Aceh Besar, Aceh;02-09-2025;ACEH;Wilayah I;Khairul Ambiya;;5.56684;95.38434
10;10;SPPG Aceh Barat Johan Pahlawan Kampung Belakang;Jl. Cut Nyak Dhien, Lr. Permata, No. 113, Kampung Belakang, Johan Pahlawan, Kab. Aceh Barat, Aceh;02-09-2025;ACEH;Wilayah I;Army Bintoro, S.T.;;4.13703;96.1285
11;11;SPPG Aceh Utara T. Jambo Aye Samakurok;Samakurok, Kec. Tanah Jambo Aye, Kab. Aceh Utara, Aceh;02-10-2025;ACEH;Wilayah I;Rizka Meutya;;5.11078;97.45909
12;12;SPPG Aceh Besar Kuta Baro Lam Puuk;Jl. Peukan Ateuk, Lam Puuk, Kec. Kuta Baro, Kab. Aceh Besar, Aceh;02-10-2025;ACEH;Wilayah I;Adnan Buyung Nasution;;5.53957;95.39617
13;13;SPPG Aceh Utara T. Jambo Aye Tanjong Ara 2;Jl. Tgk. Chik Ditunong, Tanjong Ara, Kec. T. Jambo Aye, Kab. Aceh Utara, Aceh;02-10-2025;ACEH;Wilayah I;Roiyani;;5.18;97.48494
14;14;SPPG Aceh Tenggara Babul Makmur Lawe Tawakh;Desa Lawe Tawakh, Kec. Babul Makmur, Kab. Aceh Tenggara, Aceh;02-10-2025;ACEH;Wilayah I;Ari Rio Maulana;;3.29493;97.96826
15;15;SPPG Bireuen Jangka Jangka Alue U;Jl. Jangka, Jangka Alue U, Kec. Jangka, Kab. Bireuen, Aceh;02-10-2025;ACEH;Wilayah I;Anhar;;5.25405;96.78982
16;16;SPPG Aceh Barat Woyla Darul Huda;Desa Kuala Bhe, Kec. Woyla, Kab. Aceh Barat, Aceh;02-10-2025;ACEH;Wilayah I;Heykal Syah Irawandi;;4.3847;96.04563
17;17;SPPG Aceh Tamiang Bendahara Upah;Jl. Medan Banda Aceh, Desa Upah, Kec. Bendahara, Kab. Aceh Tamiang, Aceh;02-10-2025;ACEH;Wilayah I;Agus Alwiansyah;;4.32385;98.0633
18;18;SPPG Aceh Barat Johan Pahlawan Drien Rampak 2;Jl.  Bakti Pemuda, Loron Sejahtera, Drien Rampak, Johan Pahlawan, Kab. Aceh Barat, Aceh;03-09-2025;ACEH;Wilayah I;Okta Rianda;;4.15061;96.13255
20;20;SPPG Pidie Kota Sigli Kampong Asan;Jl. Tgk. Chik Di Asan Kampong Asan, Kec. Kota Sigli Kab. Pidie, Aceh;03-09-2025;ACEH;Wilayah I;Fajar Fitrian;;5.37664;95.95611
21;21;SPPG Kota Lhokseumawe Banda Sakti Kuta Blang;Jl. Mahoni Desa Kuta Blang, Kec. Banda Sakti, Lhokseumawe City, Aceh ;03-09-2025;ACEH;Wilayah I;Atthaillah;;5.1829;97.13621
22;22;SPPG Aceh Timur Darul Aman Matang Pineung;Jl. Raya Langsa Banda Aceh, Matang Pineung Kec. Darul Aman, Kab. Aceh Timur, Aceh;03-09-2025;ACEH;Wilayah I;Rahma Yanti;;5.0031;97.70777
23;23;SPPG Kota Lhokseumawe Banda Sakti Hagu Selatan;Jl. Listrik Gang Hikmah, Hagu Selatan, Banda Sakti, Kota Lhokseumawe, Aceh;03-09-2025;ACEH;Wilayah I;Ahmad Daudy;;5.18963;97.14344
25;25;SPPG Aceh Timur Peureulak Beusa Meuranoe;Jl. Medan Banda Aceh, Desa Beusa Meuranoe, Kecamatan Peureulak, Kabupaten Aceh Timur, Provinsi Aceh;03-09-2025;ACEH;Wilayah I;Ahmad Tajul Fudhari;;4.83672;97.88527
26;26;SPPG Kota Lhokseumawe Banda Sakti Simpang Empat;Jl. T. Nyak Adam Kamil, Simpang Empat, Banda Sakti, Kota Lhokseumawe, Aceh;03-09-2025;ACEH;Wilayah I;M. Iqbal;;5.18068;97.14348
27;27;SPPG Aceh Timur Darul Aman Gampong Baro;Jl. Banda Aceh-Medan. Desa Gampong Baro, Kecamatan Darul Aman, Kab. Aceh Timur, Provinsi Aceh;03-09-2025;ACEH;Wilayah I;Taufiq Nurcholisudin;;4.97708;97.72367
28;28;SPPG Kota Langsa Langsa Barat Seuriget;Jl. Prof A. Majid Ibrahim, Seuriget, Kec. Langsa Barat, Kota Langsa, Aceh;03-10-2025;ACEH;Wilayah I;Muhammad Razi;;4.50198;97.9627
29;29;SPPG Kota Banda Aceh Kuta Alam Lampulo;Jalan Tgk. Teungoh No. 17 Lampulo Kuta Alam Banda Aceh, Aceh.;04-08-2025;ACEH;Wilayah I;Fahrian Zaki Mubarak, S.E.;;5.56717;95.32528
30;30;SPPG Aceh Singkil Gunung Meriah Gunung Lagan;Jalan Rimo-Singkil, Gampong Gunung Lagan, Kecamatan Gunung Meriah, Kabupaten Aceh Singkil, Provinsi Aceh.;04-08-2025;ACEH;Wilayah I;Almunawar Bichermiko;;2.35888;97.93288
31;31;SPPG Kota Langsa Langsa Lama Pondok Kemuning;Jalan Hamzah Fansuri, Desa  Pondok Kemuning,  Kecamatan Langsa Lama,  Kota Langsa, Provinsi Aceh;04-08-2025;ACEH;Wilayah I;Wardiah ;;4.46445;97.94341
32;32;SPPG Aceh Tamiang Rantau Benua Raja;Desa Benua Raja, Kec. Rantau, Kab. Aceh Tamiang;04-08-2025;ACEH;Wilayah I;Angga Syah Putra, S.Pi;;4.28741;98.07951
33;33;SPPG Gayo Lues Blangkejeren Raklunung;Desa Ralunung,kec. Blangkejere, Kab. Gayo Lues, Prov. Aceh;04-08-2025;ACEH;Wilayah I;wanda krisna dinata;;3.98707;97.34399
34;34;SPPG Aceh Selatan Pasi Raja Ladang Tuha;Jl. Tapaktuan-Subulussalam. Ladang Tuha, Pasi Raja Aceh Selatan;04-08-2025;ACEH;Wilayah I;Heri Rusdianto, SKM;;3.26176;97.19138
35;35;SPPG Bireuen Samalanga Ulee Jeumatan;Dusun Syeh mansur, Desa Geulumpang Payong, Kecamatan Samalanga, Kabupaten Bireuen;04-09-2025;ACEH;Wilayah I;Lola Muzlifa;;5.18645;96.37051
36;36;SPPG Aceh Selatan Trumon Tengah Ie Jeureuneh;Jl. Nasional Tapaktuan Subulusalam, Ie Jeureuneh, Trumon Tengah, Kabupaten Aceh Selatan, Aceh;04-09-2025;ACEH;Wilayah I;Fatri Alis Akbar;;3.40584;97.09404
38;38;SPPG Pidie Mutiara Timur Mesjid Gumpueng;Jl. Tiro No.2, Desa Mesjid Gumpueng, Kec. Mutiara Timur, Kabupaten Pidie, Provinsi Aceh.;04-09-2025;ACEH;Wilayah I;Rizki Mahmudi;;5.24344;95.96676
39;39;SPPG Aceh Timur Darul Aman Alue Luddin Sa;Aceh Timur, Alue Luddin Sa, Darul Aman, Kab. Aceh Timur, Aceh;04-09-2025;ACEH;Wilayah I;Muhammad Faishal;;4.98714;97.7176
40;40;SPPG Bireuen Samalanga Cot Meurak Baroh;Jl. Banda Aceh - Medan Desa Cot Meurak Kec. Samalanga Kab. Bireuen 24264, Cot Meurak Baroh, Samalanga, Kab. Bireuen, Aceh;04-10-2025;ACEH;Wilayah I;Muna Rizki;;5.17625;96.33859
