NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Aceh Barat Daya Manggeng Paya,"Jl. Tapaktuan Meulaboh, Desa Paya, Kecamatan Manggeng, Kabupaten Aceh Barat Daya, Aceh",11-10-2025,ACEH,Wilayah I,M. Ikral Agustian,,3.62115,96.9311
SPPG Gayo Lues Kutapanjang Rema,Jln Kutapanjang Blangkejeren Dusun Turun Junte Desa Rema Kutapanjang Gayo Lues,14-04-2025,ACEH,Wilayah I,Jellyfa Indah,Yayasan Bebesen Gayo Bergizi Nusantara,3.98482,97.34489
SPPG Kota Subulussalam Rundeng Lae Pemulaan,Jl. Syekh  Hamzah Fansyuri desa Lae Pemualan,17-02-2025,ACEH,Wilayah I,"Rizky Sinaga, S.Pd",,2.66513,97.86653
SPPG Kota Banda Aceh Syiah Kuala Tibang,J. T. Nyak Arief Lr. Tunggai 3  No. 5,17-02-2025,ACEH,Wilayah I,Dara Ulfa. Spsi,Yayasan Nasabe Pangan Bergizi,5.57257,95.36571
SPPG Aceh Tengah Laut Tawar Takengon Timur,"Jl. Telege Pitu Nomor 100, Dusun Belang Mersah, Kampung Takengon Timur, Kec. Lut Tawar, Kab. Aceh Tengah, Aceh",21-07-2025,ACEH,Wilayah I,Putri Maulidia,Yayasan Bebesen Gayo Bergizi Nusantara,4.61856,96.84963
SPPG Aceh Besar Darul Imarah Lamcot 2,"Dusun Lamseukee Gampong Lamcot No. 18, Desa Lamcot, Kecamatan Darul Imarah, Kabupaten Aceh Besar, Lamcot, Darul Imarah, Kab. Aceh Besar, Aceh",27-08-2025,ACEH,Wilayah I,Ade Dian Syahputra,,5.51368,95.30676
SPPG Aceh Barat Kaway XVI Alue Tampak,"jalan Meulaboh tutut, kelurahan Alue tampak, kecamatan Kaway XVI, kabupaten Aceh Barat, Provinsi Aceh.",28-07-2025,ACEH,Wilayah I,Zukhra Sanjaya,,4.2278,96.1713
SPPG Jembrana Negara Lelateng,"Jl. Basudewa No. 8, Lingkungan Ketapang",06-01-2025,BALI,Wilayah III,Ni Made Pria Pratiwi,Yayasan Boga Bahagia Jembrana,-8.36315,114.6182
SPPG Buleleng Tejakula Tejakula,"Jl. Airsanih-Tejakula, Banjar Dinas Suci, Desa Tejakula, Kecamatan Tejakula, Kabupaten Buleleng, Bali Kode Pos 81173",08-09-2025,BALI,Wilayah III,I Komang Renata Christian Adiguna,,-8.12282,115.33574
SPPG Badung Abiansemal Abiansemal,Jln. Pendet No. 94 Latusari,18-08-2025,BALI,Wilayah III,I Dewa Ayu Dresti Dwijayanti,,-8.54276,115.21213
SPPG Klungkung Nusa Penida Batununggul,"Jln. Majuh Kangin, Dusun Batumulapan, Desa Batununggul, Kec. Nusa Penida, Kab. Klungkung, Prov. Bali ",18-08-2025,BALI,Wilayah III,Komang Sindy Pramesti,,-8.68099,115.57488
SPPG Bangli Susut Demulih,"Jl. Manuk Swari, Banjar Demulih, Desa Demulih, Kecamatan Susut, Kabupaten Bangli, Provinsi Bali",26-09-2025,BALI,Wilayah III,I Komang Bayu Sutha Dharma Senthana,,-8.45365,115.33849
SPPG Serang Ciruas Cigelam,"Jalan Kemayungan, kampung kegulon, RT.05 RW. 08 ",05-05-2025,BANTEN,Wilayah II,TARMIZI THAHIR,Yayasan Generasi Emas Empatlima,-6.11457,106.14534
SPPG Tangerang Kemiri Karang Anyar,Jalan Insinyur Sutami RT. 06 RW. 03 Kp. Nibung,10-05-2025,BANTEN,Wilayah II,Aqmal Aji Fadillah,,-6.07843,106.4738
SPPG Pandeglang Pandeglang Kabayan2,"Jl. Raya Pandeglang Rangkas Bitung Km2 Kp Kumalirang Kelurahan Kabayan, Kecamatan Pandeglang, Kabupaten Pandeglang Provinsi Banten",14-10-2025,BANTEN,Wilayah II,Fitra Riyanto,,-6.31999,106.12684
SPPG Kota Serang Serang Kagungan,Jl. Kitapa Blok Pknp No. 3,18-08-2025,BANTEN,Wilayah II,Muhammad Fauzan Rizky,,-6.11047,106.15628
SPPG Pandeglang Pulosari Koranji,Kp Kadu Bungbulang Rt 003/001 Desa koranji Kec Pulosari Kab Pandeglang,21-07-2025,BANTEN,Wilayah II,Muhamad Gufronsyah ,Yayasan Citra Bakti Banten,-6.32797,105.95497
