NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG  Kerinci Gunung Raya Lempur Tengah,"Jl. Raya Lempur Tengah Kecamatan Gunung Raya, Lempur Tengah, Gunung Raya, Kab. Kerinci, Jambi",01-09-2025,JAMBI,Wilayah I,Pujiana,,"Kerinci Gunung Raya Lempur Tengah Jl. Raya Lempur Tengah Kecamatan Gunung Raya, Lempur Tengah, Gunung Raya, Kab. Kerinci, Jambi JAMBI"
SPPG  Kerinci Kayu Aro Mekar Jaya,"Jl. Lintas Sungai Tanduk, Mekar RT 06",11-08-2025,JAMBI,Wilayah I,Devin Wiranda,,"Kerinci Kayu Aro Mekar Jaya Jl. Lintas Sungai Tanduk, Mekar RT 06 JAMBI"
SPPG  Merangin Margo Tabir Suko Rejo,"Jl. Poros Margoyoso Hitam Ulu Suko Rejo Rt. 04 Rw. 01 Desa Suko Rejo, Kecamatan Margo Tabir, Kabupaten Merangin Provinsi Jambi",24-09-2025,JAMBI,Wilayah I,Lutfia Nur Ihsani,,"Merangin Margo Tabir Suko Rejo Jl. Poros Margoyoso Hitam Ulu Suko Rejo Rt. 04 Rw. 01 Desa Suko Rejo, Kecamatan Margo Tabir, Kabupaten Merangin Provinsi Jambi JAMBI"
SPPG  Muaro Jambi Sungai Bahar Mekar Sari Makmur,"Simpang Yanto, RT 009, Desa Suka Makmur, Kecamatan Sungai Bahar, Kabupaten Muaro Jambi, Provinsi Jambi",21-08-2025,JAMBI,Wilayah I,Hardiansyah,,"Muaro Jambi Sungai Bahar Mekar Sari Makmur Simpang Yanto, RT 009, Desa Suka Makmur, Kecamatan Sungai Bahar, Kabupaten Muaro Jambi, Provinsi Jambi JAMBI"
SPPG  Rokan Hilir Bangko Pusako Bangko Permata,"Jl. Lintas Sumatera Km 7 Bangko Permata, Kec Bangko Pusako Rokan Hilir, Bangko Permata, Bangko Pusako, Kab. Rokan Hilir, Riau",12-09-2025,RIAU,Wilayah I,Dimas Malik Suryanda,,"Rokan Hilir Bangko Pusako Bangko Permata Jl. Lintas Sumatera Km 7 Bangko Permata, Kec Bangko Pusako Rokan Hilir, Bangko Permata, Bangko Pusako, Kab. Rokan Hilir, Riau RIAU"
SPPG  Rokan Hilir Tanah Putih Banjar XII 2,"Jl. Lintas Riau Sumut Kel. Banjar Xii Km 167 Kecamatan Tanah Putih Kabupaten Rohil, Riau",11-10-2025,RIAU,Wilayah I,Arie Aidil Fajar,,"Rokan Hilir Tanah Putih Banjar XII 2 Jl. Lintas Riau Sumut Kel. Banjar Xii Km 167 Kecamatan Tanah Putih Kabupaten Rohil, Riau RIAU"
SPPG  Rokan Hulu Tambusai Sungai Kumango,"Jl. Lintas Provinsi Riau-Sumatera Utara, Sungai Kumango, Kec. Tambusai, Kab. Rokan Hulu, Riau",07-10-2025,RIAU,Wilayah I,Manado Panjaitan,,"Rokan Hulu Tambusai Sungai Kumango Jl. Lintas Provinsi Riau-Sumatera Utara, Sungai Kumango, Kec. Tambusai, Kab. Rokan Hulu, Riau RIAU"
SPPG  Rokan Hulu Tambusai Utara Mahato,"Dusun XIV, Desa Suka Damai, Desa Mahato, RT 001/RW 001, Kecamatan Tambusai Utara, Kabupaten Rokan Hulu, Provinsi Riau",11-08-2025,RIAU,Wilayah I,Sugiati,,"Rokan Hulu Tambusai Utara Mahato Dusun XIV, Desa Suka Damai, Desa Mahato, RT 001/RW 001, Kecamatan Tambusai Utara, Kabupaten Rokan Hulu, Provinsi Riau RIAU"
SPPG  Rokan Hulu Tambusai Utara Mahato 2,"Jl. Poros Rantau Kasai Desa Mahato Km. 11 Kecamatan Tambusai Utara Kabupaten Rokan Hulu, Riau",06-10-2025,RIAU,Wilayah I,Asrol Fickri,,"Rokan Hulu Tambusai Utara Mahato 2 Jl. Poros Rantau Kasai Desa Mahato Km. 11 Kecamatan Tambusai Utara Kabupaten Rokan Hulu, Riau RIAU"
SPPG  Rokan Hulu Tandun Dayo,"Jl. Raya Bukit Suligi No.143 Dusun Tanjung Harapan Rt/Rw 005/001 Desa Dayo Kecamatan Tandun Kabupaten Rokan Hulu, Riau",30-09-2025,RIAU,Wilayah I,Herman Yosef Yakian Mendrofa,,"Rokan Hulu Tandun Dayo Jl. Raya Bukit Suligi No.143 Dusun Tanjung Harapan Rt/Rw 005/001 Desa Dayo Kecamatan Tandun Kabupaten Rokan Hulu, Riau RIAU"
